16-1-2 00:30:39.3|Info|Bootstrap|Starting Sonarr - /NzbDrone/NzbDrone.exe - Version 2.0.0.3645
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateIndex Episodes (TvDbEpisodeId)
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Episodes_TvDbEpisodeId" ON "Episodes" ("TvDbEpisodeId" ASC)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0031790
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateTable EpisodeFiles
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE TABLE "EpisodeFiles" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "SeriesId" INTEGER NOT NULL, "Path" TEXT NOT NULL, "Quality" TEXT NOT NULL, "Size" INTEGER NOT NULL, "DateAdded" DATETIME NOT NULL, "SeasonNumber" INTEGER NOT NULL, "SceneName" TEXT, "ReleaseGroup" TEXT)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0031450
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateIndex EpisodeFiles (Path)
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_EpisodeFiles_Path" ON "EpisodeFiles" ("Path" ASC)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0081070
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateTable History
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE TABLE "History" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "EpisodeId" INTEGER NOT NULL, "SeriesId" INTEGER NOT NULL, "NzbTitle" TEXT NOT NULL, "Date" DATETIME NOT NULL, "Quality" TEXT NOT NULL, "Indexer" TEXT NOT NULL, "NzbInfoUrl" TEXT, "ReleaseGroup" TEXT)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0027570
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateTable Notifications
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE TABLE "Notifications" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Name" TEXT NOT NULL, "OnGrab" INTEGER NOT NULL, "OnDownload" INTEGER NOT NULL, "Settings" TEXT NOT NULL, "Implementation" TEXT NOT NULL)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0035320
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateTable ScheduledTasks
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE TABLE "ScheduledTasks" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TypeName" TEXT NOT NULL, "Interval" INTEGER NOT NULL, "LastExecution" DATETIME NOT NULL)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0024870
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateIndex ScheduledTasks (TypeName)
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_ScheduledTasks_TypeName" ON "ScheduledTasks" ("TypeName" ASC)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0051280
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateTable Indexers
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE TABLE "Indexers" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Enable" INTEGER NOT NULL, "Name" TEXT NOT NULL, "Implementation" TEXT NOT NULL, "Settings" TEXT)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0034560
16-1-2 00:30:40.6|Debug|MigrationLogger|CreateIndex Indexers (Name)
16-1-2 00:30:40.6|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Indexers_Name" ON "Indexers" ("Name" ASC)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0069780
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateTable QualityProfiles
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE TABLE "QualityProfiles" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Name" TEXT NOT NULL, "Cutoff" INTEGER NOT NULL, "Allowed" TEXT NOT NULL)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0026130
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateIndex QualityProfiles (Name)
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_QualityProfiles_Name" ON "QualityProfiles" ("Name" ASC)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0025080
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateTable QualitySizes
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE TABLE "QualitySizes" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "QualityId" INTEGER NOT NULL, "Name" TEXT NOT NULL, "MinSize" INTEGER NOT NULL, "MaxSize" INTEGER NOT NULL)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0022830
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateIndex QualitySizes (QualityId)
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_QualitySizes_QualityId" ON "QualitySizes" ("QualityId" ASC)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0020560
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateIndex QualitySizes (Name)
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_QualitySizes_Name" ON "QualitySizes" ("Name" ASC)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0122370
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateTable SceneMappings
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE TABLE "SceneMappings" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "CleanTitle" TEXT NOT NULL, "SceneName" TEXT NOT NULL, "TvdbId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0025610
16-1-2 00:30:40.7|Debug|MigrationLogger|CreateTable NamingConfig
16-1-2 00:30:40.7|Debug|MigrationLogger|CREATE TABLE "NamingConfig" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "UseSceneName" INTEGER NOT NULL, "Separator" TEXT NOT NULL, "NumberStyle" INTEGER NOT NULL, "IncludeSeriesTitle" INTEGER NOT NULL, "MultiEpisodeStyle" INTEGER NOT NULL, "IncludeEpisodeTitle" INTEGER NOT NULL, "IncludeQuality" INTEGER NOT NULL, "ReplaceSpaces" INTEGER NOT NULL, "SeasonFolderFormat" TEXT NOT NULL)
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0028380
16-1-2 00:30:40.7|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (1, '2016-01-02T00:30:40', 'InitialSetup')
16-1-2 00:30:40.7|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:40.7|Debug|MigrationLogger|1: InitialSetup migrated
16-1-2 00:30:40.7|Debug|MigrationLogger|Took: 00:00:00.0210040
16-1-2 00:30:40.8|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
16-1-2 00:30:40.8|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:40.8|Info|remove_tvrage_imdb_unique_constraint|Starting migration to 2
16-1-2 00:30:40.8|Debug|MigrationLogger|DeleteIndex Series (TvRageId)
16-1-2 00:30:40.8|Debug|MigrationLogger|DROP INDEX "IX_Series_TvRageId"
16-1-2 00:30:40.8|Debug|MigrationLogger|Took: 00:00:00.0098210
16-1-2 00:30:40.8|Debug|MigrationLogger|DeleteIndex Series (ImdbId)
16-1-2 00:30:40.8|Debug|MigrationLogger|DROP INDEX "IX_Series_ImdbId"
16-1-2 00:30:40.8|Debug|MigrationLogger|Took: 00:00:00.0033300
16-1-2 00:30:41.0|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (2, '2016-01-02T00:30:41', 'remove_tvrage_imdb_unique_constraint')
16-1-2 00:30:41.0|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.0|Debug|MigrationLogger|2: remove_tvrage_imdb_unique_constraint migrated
16-1-2 00:30:41.0|Debug|MigrationLogger|Took: 00:00:00.2021400
16-1-2 00:30:41.0|Info|MigrationLogger|*** 3: remove_renamed_scene_mapping_columns migrating ***
16-1-2 00:30:41.0|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.0|Info|remove_renamed_scene_mapping_columns|Starting migration to 3
16-1-2 00:30:41.0|Debug|MigrationLogger|DeleteTable SceneMappings
16-1-2 00:30:41.0|Debug|MigrationLogger|DROP TABLE "SceneMappings"
16-1-2 00:30:41.0|Debug|MigrationLogger|Took: 00:00:00.0025890
16-1-2 00:30:41.0|Debug|MigrationLogger|CreateTable SceneMappings
16-1-2 00:30:41.0|Debug|MigrationLogger|CREATE TABLE "SceneMappings" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvdbId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL, "SearchTerm" TEXT NOT NULL, "ParseTerm" TEXT NOT NULL)
16-1-2 00:30:41.1|Debug|MigrationLogger|Took: 00:00:00.0063530
16-1-2 00:30:41.1|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (3, '2016-01-02T00:30:41', 'remove_renamed_scene_mapping_columns')
16-1-2 00:30:41.1|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.1|Debug|MigrationLogger|3: remove_renamed_scene_mapping_columns migrated
16-1-2 00:30:41.1|Debug|MigrationLogger|Took: 00:00:00.0226000
16-1-2 00:30:41.1|Info|MigrationLogger|*** 4: updated_history migrating ***
16-1-2 00:30:41.1|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.1|Info|updated_history|Starting migration to 4
16-1-2 00:30:41.1|Debug|MigrationLogger|DeleteTable History
16-1-2 00:30:41.1|Debug|MigrationLogger|DROP TABLE "History"
16-1-2 00:30:41.1|Debug|MigrationLogger|Took: 00:00:00.0027460
16-1-2 00:30:41.1|Debug|MigrationLogger|CreateTable History
16-1-2 00:30:41.1|Debug|MigrationLogger|CREATE TABLE "History" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "EpisodeId" INTEGER NOT NULL, "SeriesId" INTEGER NOT NULL, "SourceTitle" TEXT NOT NULL, "Date" DATETIME NOT NULL, "Quality" TEXT NOT NULL, "Data" TEXT NOT NULL)
16-1-2 00:30:41.1|Debug|MigrationLogger|Took: 00:00:00.0032460
16-1-2 00:30:41.1|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (4, '2016-01-02T00:30:41', 'updated_history')
16-1-2 00:30:41.1|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.1|Debug|MigrationLogger|4: updated_history migrated
16-1-2 00:30:41.1|Debug|MigrationLogger|Took: 00:00:00.0154830
16-1-2 00:30:41.1|Info|MigrationLogger|*** 5: added_eventtype_to_history migrating ***
16-1-2 00:30:41.1|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.2|Info|added_eventtype_to_history|Starting migration to 5
16-1-2 00:30:41.2|Debug|MigrationLogger|AlterTable History
16-1-2 00:30:41.2|Debug|MigrationLogger|
16-1-2 00:30:41.2|Debug|MigrationLogger|Took: 00:00:00.0019090
16-1-2 00:30:41.2|Debug|MigrationLogger|CreateColumn History EventType Int32
16-1-2 00:30:41.2|Debug|MigrationLogger|ALTER TABLE "History" ADD COLUMN "EventType" INTEGER
16-1-2 00:30:41.2|Debug|MigrationLogger|Took: 00:00:00.0021100
16-1-2 00:30:41.2|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (5, '2016-01-02T00:30:41', 'added_eventtype_to_history')
16-1-2 00:30:41.2|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.2|Debug|MigrationLogger|5: added_eventtype_to_history migrated
16-1-2 00:30:41.2|Debug|MigrationLogger|Took: 00:00:00.0252710
16-1-2 00:30:41.2|Info|MigrationLogger|*** 6: add_index_to_log_time migrating ***
16-1-2 00:30:41.2|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.2|Info|add_index_to_log_time|Starting migration to 6
16-1-2 00:30:41.2|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (6, '2016-01-02T00:30:41', 'add_index_to_log_time')
16-1-2 00:30:41.2|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.2|Debug|MigrationLogger|6: add_index_to_log_time migrated
16-1-2 00:30:41.2|Debug|MigrationLogger|Took: 00:00:00.0154710
16-1-2 00:30:41.2|Info|MigrationLogger|*** 7: add_renameEpisodes_to_naming migrating ***
16-1-2 00:30:41.2|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.3|Info|add_renameEpisodes_to_naming|Starting migration to 7
16-1-2 00:30:41.3|Debug|MigrationLogger|AlterTable NamingConfig
16-1-2 00:30:41.3|Debug|MigrationLogger|
16-1-2 00:30:41.3|Debug|MigrationLogger|Took: 00:00:00.0019910
16-1-2 00:30:41.3|Debug|MigrationLogger|CreateColumn NamingConfig RenameEpisodes Boolean
16-1-2 00:30:41.3|Debug|MigrationLogger|ALTER TABLE "NamingConfig" ADD COLUMN "RenameEpisodes" INTEGER
16-1-2 00:30:41.3|Debug|MigrationLogger|Took: 00:00:00.0047770
16-1-2 00:30:41.3|Debug|MigrationLogger|ExecuteSqlStatement UPDATE NamingConfig SET RenameEpisodes =~ UseSceneName
16-1-2 00:30:41.3|Debug|MigrationLogger|UPDATE NamingConfig SET RenameEpisodes =~ UseSceneName
16-1-2 00:30:41.3|Debug|MigrationLogger|Took: 00:00:00.0025060
16-1-2 00:30:41.3|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (7, '2016-01-02T00:30:41', 'add_renameEpisodes_to_naming')
16-1-2 00:30:41.3|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.3|Debug|MigrationLogger|7: add_renameEpisodes_to_naming migrated
16-1-2 00:30:41.3|Debug|MigrationLogger|Took: 00:00:00.0157480
16-1-2 00:30:41.3|Info|MigrationLogger|*** 8: remove_backlog migrating ***
16-1-2 00:30:41.3|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.3|Info|remove_backlog|Starting migration to 8
16-1-2 00:30:41.3|Debug|MigrationLogger|DeleteColumn Series BacklogSetting
16-1-2 00:30:41.4|Debug|MigrationLogger|CREATE TABLE "Series_temp" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvdbId" INTEGER NOT NULL, "TvRageId" INTEGER NOT NULL, "ImdbId" TEXT NOT NULL, "Title" TEXT NOT NULL, "TitleSlug" TEXT NOT NULL, "CleanTitle" TEXT NOT NULL, "Status" INTEGER NOT NULL, "Overview" TEXT, "AirTime" TEXT, "Images" TEXT NOT NULL, "Path" TEXT NOT NULL, "Monitored" INTEGER NOT NULL, "QualityProfileId" INTEGER NOT NULL, "SeasonFolder" INTEGER NOT NULL, "LastInfoSync" DATETIME, "LastDiskSync" DATETIME, "Runtime" INTEGER NOT NULL, "SeriesType" INTEGER NOT NULL, "Network" TEXT, "CustomStartDate" DATETIME, "UseSceneNumbering" INTEGER NOT NULL, "FirstAired" DATETIME, "NextAiring" DATETIME)
16-1-2 00:30:41.4|Debug|MigrationLogger|INSERT INTO "Series_temp" SELECT "Id", "TvdbId", "TvRageId", "ImdbId", "Title", "TitleSlug", "CleanTitle", "Status", "Overview", "AirTime", "Images", "Path", "Monitored", "QualityProfileId", "SeasonFolder", "LastInfoSync", "LastDiskSync", "Runtime", "SeriesType", "Network", "CustomStartDate", "UseSceneNumbering", "FirstAired", "NextAiring" FROM "Series"
16-1-2 00:30:41.4|Debug|MigrationLogger|DROP TABLE "Series"
16-1-2 00:30:41.4|Debug|MigrationLogger|ALTER TABLE "Series_temp" RENAME TO "Series"
16-1-2 00:30:41.4|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TvdbId" ON "Series" ("TvdbId" ASC)
16-1-2 00:30:41.4|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TitleSlug" ON "Series" ("TitleSlug" ASC)
16-1-2 00:30:41.4|Debug|MigrationLogger|Took: 00:00:00.0539980
16-1-2 00:30:41.4|Debug|MigrationLogger|DeleteColumn NamingConfig UseSceneName
16-1-2 00:30:41.4|Debug|MigrationLogger|CREATE TABLE "NamingConfig_temp" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Separator" TEXT NOT NULL, "NumberStyle" INTEGER NOT NULL, "IncludeSeriesTitle" INTEGER NOT NULL, "MultiEpisodeStyle" INTEGER NOT NULL, "IncludeEpisodeTitle" INTEGER NOT NULL, "IncludeQuality" INTEGER NOT NULL, "ReplaceSpaces" INTEGER NOT NULL, "SeasonFolderFormat" TEXT NOT NULL, "RenameEpisodes" INTEGER)
16-1-2 00:30:41.4|Debug|MigrationLogger|INSERT INTO "NamingConfig_temp" SELECT "Id", "Separator", "NumberStyle", "IncludeSeriesTitle", "MultiEpisodeStyle", "IncludeEpisodeTitle", "IncludeQuality", "ReplaceSpaces", "SeasonFolderFormat", "RenameEpisodes" FROM "NamingConfig"
16-1-2 00:30:41.4|Debug|MigrationLogger|DROP TABLE "NamingConfig"
16-1-2 00:30:41.4|Debug|MigrationLogger|ALTER TABLE "NamingConfig_temp" RENAME TO "NamingConfig"
16-1-2 00:30:41.4|Debug|MigrationLogger|Took: 00:00:00.0369080
16-1-2 00:30:41.4|Debug|MigrationLogger|INSERT INTO "VersionInfo" ("Version", "AppliedOn", "Description") VALUES (8, '2016-01-02T00:30:41', 'remove_backlog')
16-1-2 00:30:41.4|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:41.5|Debug|MigrationLogger|8: remove_backlog migrated
16-1-2 00:30:41.5|Debug|MigrationLogger|Took: 00:00:00.0500600
16-1-2 00:30:41.5|Info|MigrationLogger|*** 9: fix_rename_episodes migrating ***
16-1-2 00:30:41.5|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:41.5|Info|fix_rename_episodes|Starting migration to 9
16-1-2 00:30:41.5|Debug|MigrationLogger|DeleteColumn NamingConfig SeasonFolderFormat
16-1-2 00:30:41.5|Debug|MigrationLogger|CREATE TABLE "NamingConfig_temp" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Separator" TEXT NOT NULL, "NumberStyle" INTEGER NOT NULL, "IncludeSeriesTitle" INTEGER NOT NULL, "MultiEpisodeStyle" INTEGER NOT NULL, "IncludeEpisodeTitle" INTEGER NOT NULL, "IncludeQuality" INTEGER NOT NULL, "ReplaceSpaces" INTEGER NOT NULL, "RenameEpisodes" INTEGER)
